geo,date_quarter,ddos
GM,2021.5,0
GM,2021.75,0
GN,2016.75,0
GN,2017,0
GN,2017.25,0
GN,2017.5,0
GN,2017.75,0
GN,2018,0
GN,2018.25,0
GN,2018.5,0
GN,2018.75,0
GN,2019,0
GN,2019.25,0
GN,2019.5,47
GN,2019.75,307
GN,2020,159
GN,2020.25,120
GN,2020.5,52
GN,2020.75,158
GN,2021,0
GN,2021.25,245
GN,2021.5,113
GN,2021.75,71
GR,2016.75,228
GR,2017,257
GR,2017.25,201
GR,2017.5,176
GR,2017.75,269
GR,2018,207
GR,2018.25,166
GR,2018.5,197
GR,2018.75,259
GR,2019,163
GR,2019.25,151
GR,2019.5,209
GR,2019.75,233
GR,2020,270
GR,2020.25,209
GR,2020.5,219
GR,2020.75,251
GR,2021,445
GR,2021.25,392
GR,2021.5,202
GR,2021.75,88
GT,2016.75,20
GT,2017,53
GT,2017.25,18
GT,2017.5,66
GT,2017.75,75
GT,2018,15
GT,2018.25,15
GT,2018.5,44
GT,2018.75,17
GT,2019,58
GT,2019.25,0
GT,2019.5,31
GT,2019.75,32
GT,2020,395
GT,2020.25,71
GT,2020.5,67
GT,2020.75,41
GT,2021,75
GT,2021.25,45
GT,2021.5,35
GT,2021.75,13
HN,2016.75,101
HN,2017,0
HN,2017.25,46
HN,2017.5,92
HN,2017.75,93
HN,2018,0
HN,2018.25,43
HN,2018.5,0
HN,2018.75,49
HN,2019,0
HN,2019.25,0
HN,2019.5,45
HN,2019.75,93
HN,2020,209
HN,2020.25,97
HN,2020.5,0
HN,2020.75,136
HN,2021,67
HN,2021.25,61
HN,2021.5,63
HN,2021.75,105
HR,2016.75,108
HR,2017,98
HR,2017.25,0
HR,2017.5,57
HR,2017.75,101
HR,2018,72
HR,2018.25,232
HR,2018.5,51
HR,2018.75,19
HR,2019,76
HR,2019.25,0
HR,2019.5,171
HR,2019.75,52
HR,2020,156
HR,2020.25,93
HR,2020.5,80
HR,2020.75,207
HR,2021,86
HR,2021.25,51
HR,2021.5,46
HR,2021.75,40
HT,2016.75,57
HT,2017,0
HT,2017.25,0
HT,2017.5,0
HT,2017.75,62
HT,2018,0
HT,2018.25,0
HT,2018.5,0
HT,2018.75,0
HT,2019,196
HT,2019.25,57
HT,2019.5,59
HT,2019.75,118
